9740676,Automatic column resizing,"In various embodiments, methods, systems, and non-transitory computer-readable media are disclosed that allow developers to provide automatic column resizing in spreadsheet software using a desktop integration framework. The width of a column usually can only be set at or to hard-wired widths or manually adjusted to fit (even with a manually triggered auto adjustment function). This feature adds the ability to control column widths in tables at run time."
9823895,Memory management for finite automata processing,Matching at least one regular expression pattern in an input stream may be optimized by initializing a search context in a run stack based on (i) partial match results determined from walking segments of a payload of a flow through a first finite automation and (ii) a historical search context associated with the flow. The search context may be modified via push or pop operations to direct at least one processor to walk segments of the payload through the at least one second finite automation. The search context may be maintained in a manner that obviates overflow of the search context and obviating stalling of the push or pop operations to increase match performance.
9639177,Mobile terminal and method for controlling the same,"A mobile terminal is provided that is capable of effectively displaying information to users by utilizing characteristics of a flexible display unit. The mobile terminal includes a flexible display unit configured to display image information on an entire screen; a sensing unit configured to sense a folded state of the flexible display unit; and a control unit configured to divide an entire screen of the flexible display unit into a plurality of screens based on a folded position, rearrange image information according to the plurality of divided screens, and display the rearranged image information on at least one of the plurality of divided screens."
9598049,Hands free access system for a vehicle closure,"A method of operating a hands free access system for a vehicle includes authenticating a user of the vehicle, determining whether the authenticated user is burdened, and selectively opening a vehicle closure in response to the determination. A hands free access system for a vehicle includes a user recognition system operable to authenticate a user of the vehicle and a control system operable to determine whether the authenticated user is burdened and to operate the vehicle closure in response to the determination."
9820039,Default playback devices,"Systems and method discussed herein involve applying a designation of a default playback device in a media playback system. One method may involve maintaining a database comprising data indicating an assignment of an identification of a network microphone device to a playback zone of a media playback system, receiving a message indicating (i) the identification of the network microphone device and (ii) a media playback command, identifying the playback zone in the media playback system based on the data in the database and the received message, and transmitting to the playback zone, a message indicating the media playback command."
9848328,User authentication in a mobile environment,"A data channel transmission can be used to authenticate a voice channel transmission. An authentication server can authenticate the identity of one or more parties to a call where at least one of the parties to the call is using a mobile device. A PKI authentication methodology or other symmetric or asymmetric encryption/decryption methodology can be used in a mobile network environment to identify and authenticate a first user to a second user. The authentication request sent to the third party trusted server can be encrypted, signed and transmitted over a data channel (such as an internet connection or SMS or MMS connection), concurrent with the voice channel transmission. In response to validation by the third party trusted server, the third party trusted server can send an authentication indication to the second user's device, which can display identification information and other (optional) data associated with the first user."
9588619,Performance monitoring and correction in a touch-sensitive apparatus,"Touch sensitivity is enabled using a touch system that comprises a panel configured to conduct signals, e.g. by TIR, along detection lines across a touch surface. A signal processor operates in a sequence of repetitions to: generate data samples that represent detected signal energy on the actual detection lines; generate based on the data samples, an interpolated sinogram comprising interpolation samples that represent fictitious detection lines which have a desired location on the touch surface; and reconstruct a signal interaction pattern for the touch surface based on the interpolated sinogram. The signal processor implements an error correction to counteract the influence of a change in validity status for a data sample among the data samples, by identifying interpolation samples affected by the change in validity status, and by setting each identified interpolation sample to a value that maintains a relative signal transmission of the fictitious detection line from a former repetition."
9773427,Calorie balance system,"A calorie balance system is designed for consumers who are interested in having a proper and adequate diet while monitoring daily activities. Disclosed embodiments enable consumers to be continuously aware of their caloric intake and to compare their caloric intake with current calories expended. Calories burned or expended may be measured by fitness tracking devices. Enabled utensils such as cups, spoons and forks are equipped with means of wireless communication, an accelerometer, a three axis slope meter sensor, a microcontroller, a scale, an analog to digital converter and a microcontroller. Enabled utensils measure the weight of food consumed are report to the consumer's personal electronic device. The system is further enabled by consumers talking to an enabled utensil to report the type of food being consumed. The reported food weight is mapped to the type of food consumed and relevant food data is displayed."
9847964,Service provisioning profile for a fabric network,"Methods and systems for pairing a device to an account managed by a remote service include connecting to a commissioning device. The commissioning device is a device that manages pairing of devices to a remote service. Pairing the device to the fabric in a remote service also includes receiving service configuration details from the commissioning device. The commissioning device has previously retrieved the service configuration details that contain details configured to enable the joining device to connect to the remote service. Using the service configuration details, a device connects to the remote service using the received service configuration details."
9727721,Method and device for unlocking electronic equipment and unlocking key thereof,"Disclosed is a method for unlocking an electronic equipment, and the method includes: the electronic equipment detects periodically whether there is an unlocking key in its surrounding environment, and when there is an unlocking key in the surrounding environment, transmits an unlocking request to the unlocking key; the unlocking key receives the unlocking request, determines in accordance with the unlocking request whether the electronic equipment matches the unlocking key, and when it is determined that the electronic equipment matches the unlocking key, transmits an unlocking signal to the electronic equipment so as to unlock the electronic equipment. Further disclosed are a device for unlocking an electronic equipment and an unlocking key for unlocking an electronic equipment. By means of the present disclosure, the unlocking key is enabled to automatically unlock an electronic equipment when it is disposed near the electronic equipment."
